project,downloads_count
djangocms-page-meta,13534
django-active-link,13496
django-learngual,13491
django-csp-reports,13486
django-postgresql,13472
django-property-filter,13448
django-richtextfield,13448
django-sms,13375
feincms,13303
django-query-counter,13284
django-cfdi,13273
django-error-report-2,13219
django-pgclone,13202
django-email-verification,13140
django-s3file,13057
django-json-model-field,13024
django-app-settings,13016
django-oscar-bluelight,12974
django-koldar-utils,12874
django-mongoengine-filter,12851
django-twilio-2fa,12837
django-hint,12822
django-migration-checker,12805
django-fsm-admin,12728
django-appdata,12715
django-query-builder,12692
django-positions,12607
django-requests-debug-toolbar,12597
django-admin-easy,12538
django-simple-certmanager,12473
djangocms-icon,12403
django-mongodb-backend,12399
django-mail-queue,12390
django-spellbook,12353
django-msgraphbackend,12321
django-admin-fast-search,12318
django-renderpdf,12309
djblets,12286
django-queryable-properties,12278
django-capture-tag,12212
django-single-session,12211
drf-link-header-pagination,12201
django-react-templatetags,12192
wagtail-font-awesome-svg,12178
django-templatetag-sugar,12150
django-rest-authtoken,12148
django4-background-tasks,12141
django-pylibmc,12129
wagtail-generic-chooser,12066
django-capture-on-commit-callbacks,12032
django-selenium-login,12015
django-replicated,12004
django-ltree,11955
django-daterangefilter,11931
django-language-server,11930
django-cache-lock,11903
django-cities,11888
drf-polymorphic,11869
django-http-referrer-policy,11868
django-logpipe,11845
django-otp-yubikey,11824
django-nece,11744
django-spurl,11667
django-debugtools,11641
django-forms-dynamic,11623
django-spire,11535
wagtail-metadata,11519
drf-problems,11442
django-proxy-overrides,11399
django-tag-parser,11352
django-hattori,11334
django-lti-toolbox,11280
django-factory-boy,11277
django-model-import,11253
django-microsip-base,11212
django-backblaze-b2,11131
django-cassandra-engine,11124
djangocodemirror,11061
django-chunk-upload-handlers,11051
django-lasuite,11027
django-nvd3,10970
django-log-outgoing-requests,10970
django-su,10899
django-static-sitemaps,10866
django-jsignature,10862
django-diagram,10858
djproxy,10849
django-bootstrap3-datetimepicker-2,10815
django-temporalio,10781
django-hcaptcha,10776
django-setup-configuration,10775
django-distance-field,10770
django-json-schema-editor,10770
django-oauth-plus,10760
django-pev,10753
django-dynamic-filenames,10719
django-compress-staticfiles,10690
django-attachments,10657
django-timedeltafield,10647
django-address,10640
django-jalali,10633
django-bulk-load,10587
django-safemigrate,10573
django-unused-media,10542
django-payments,10520
django-inoa,10497
django-core-micha,10452
django-advanced-password-validation,10444
django-smuggler,10433
django-user-defined-fields,10406
django-migration-zero,10378
django-logging-context,10372
django-ajax-datatable,10356
django-admin-shortcuts,10307
dj-config-url,10257
django-sql-dashboard,10247
django-sessionprofile,10242
djangoajax,10228
django-admin-thumbnails,10198
django-asgi-lifespan,10174
django-shortuuidfield,10164
django-forms-workflows,10142
django-localized-fields,10115
django-heroku-connect,10099
django-comments,10067
django-channels-graphql-ws,10059
django-earthdistance,10042
django-rest-url-filter,10023
django-datatable-view,10017
django-oscar-cybersource,9987
django-admin-multi-select-filter,9981
django-pfx,9945
django-ninja-aio-crud,9926
django-consistency-enforcer,9918
django-s3-folder-storage,9906
django-nyt,9899
django-countries-plus,9870
django-material-admin,9813
dj-redis-panel,9808
django-p3p,9806
django-rest-enumfield,9796
django-mfa2,9758
feincms3,9755
django-pytest,9754
django-fobi,9709
djangorestframework-expiring-authtoken,9612
django-vanilla-views,9602
django-shark,9589
django-grpc,9587
django-yubin,9584
django-admin-views,9529
django-groupadmin-users,9523
django-oscar-api-checkout,9501
djrill,9489
django-shell-plus,9478
django-bulk-signals,9472
django-bakery,9415
django-daterangefilter-fixed,9395
drf-kit,9354
django-openid-auth,9352
django-easy-pdf,9325
django-connectwise,9324
django-uuslug,9294
django-saml2-auth,9274
django-mail-templated,9247
django-log-viewer,9237
django-secured-fields,9205
django-qsessions,9202
django-huey-monitor,9181
django-azure-communication-email,9155
django-debug-panel,9152
django-flat-json-widget,9113
wagtail-links,9113
django-pgviews,9095
django-regex-field,9092
django-smartbase-admin,9083
django-microsip-diot,9079
django-image-uploader-widget,9063
django-admin-charts,9033
django-daisy,9032
django-email-log,9010
django-timed-tests,9004
djangocms-blog,8997
django-view-breadcrumbs,8996
django-rangefilter,8981
django-filebrowser-no-grappelli,8963
