date,downloads
2023-10-19,304019
2023-10-18,306868
2023-10-17,303045
2023-10-16,208828
2023-10-15,83667
2023-10-14,152529
2023-10-13,278398
2023-10-12,309083
2023-10-11,311615
2023-10-10,283727
2023-10-09,204555
2023-10-08,87543
2023-10-07,152715
2023-10-06,288789
2023-10-05,313872
2023-10-04,298815
2023-10-03,293291
2023-10-02,179352
2023-10-01,87612
2023-09-30,158774
2023-09-29,277884
2023-09-28,295693
2023-09-27,305510
2023-09-26,316243
2023-09-25,205908
2023-09-24,86544
2023-09-23,148795
2023-09-22,272321
2023-09-21,315780
2023-09-20,305297
2023-09-19,301995
2023-09-18,190863
2023-09-17,84215
2023-09-16,161377
2023-09-15,286953
2023-09-14,304224
2023-09-13,320377
2023-09-12,337747
2023-09-11,227905
2023-09-10,87533
2023-09-09,159276
2023-09-08,272624
2023-09-07,302575
2023-09-06,309702
2023-09-05,240627
2023-09-04,196225
2023-09-03,81155
2023-09-02,146846
2023-09-01,278757
2023-08-31,303852
2023-08-30,301939
2023-08-29,347923
2023-08-28,220755
2023-08-27,88614
2023-08-26,182661
2023-08-25,331573
2023-08-24,347840
2023-08-23,331630
2023-08-22,309266
2023-08-21,208260
2023-08-20,79772
2023-08-19,155782
2023-08-18,271658
2023-08-17,279950
2023-08-16,275977
2023-08-15,265867
2023-08-14,197346
2023-08-13,81469
2023-08-12,140790
2023-08-11,253328
2023-08-10,302428
2023-08-09,330095
2023-08-08,284049
2023-08-07,201367
2023-08-06,80527
2023-08-05,142928
2023-08-04,269038
2023-08-03,293486
2023-08-02,313032
2023-08-01,326456
2023-07-31,207541
2023-07-30,81291
2023-07-29,148842
2023-07-28,282633
2023-07-27,321831
2023-07-26,318705
2023-07-25,301945
2023-07-24,203730
2023-07-23,78608
2023-07-22,153271
2023-07-21,273642
2023-07-20,328769
2023-07-19,311375
2023-07-18,307252
2023-07-17,191865
2023-07-16,81703
2023-07-15,206895
2023-07-14,344853
2023-07-13,377975
2023-07-12,436055
2023-07-11,485673
2023-07-10,263445
2023-07-09,86413
2023-07-08,258922
2023-07-07,475311
2023-07-06,481348
2023-07-05,320109
2023-07-04,374002
2023-07-03,259102
2023-07-02,87266
2023-07-01,283096
