pre_release,version,downloads_count
5.2,1.1.3,3830
pre_release,version,downloads_count
5.1,5.1rc1,36865
5.1,5.1b1,81089
5.1,5.1a1,97460
5.1,5.0rc1,902
5.1,5.0b1,1760
5.1,5.0a1,1192
5.1,5.0.8,131392
5.1,5.0.7,3541036
5.1,5.0.6,5445671
5.1,5.0.5,30291
5.1,5.0.4,2232930
5.1,5.0.3,612241
5.1,5.0.2,254934
5.1,5.0.1,264435
5.1,5.0,222819
5.1,4.2rc1,1020
5.1,4.2b1,828
5.1,4.2a1,873
5.1,4.2.9,410975
5.1,4.2.8,377027
5.1,4.2.7,601389
5.1,4.2.6,308743
5.1,4.2.5,316661
5.1,4.2.4,263516
5.1,4.2.3,376561
5.1,4.2.2,809684
5.1,4.2.15,74960
5.1,4.2.14,2442953
5.1,4.2.13,4041521
5.1,4.2.12,51593
5.1,4.2.11,2528071
5.1,4.2.10,689039
5.1,4.2.1,219163
5.1,4.2,669862
5.1,4.1rc1,517
5.1,4.1b1,712
5.1,4.1a1,650
5.1,4.1.9,83303
5.1,4.1.8,29592
5.1,4.1.7,551613
5.1,4.1.6,100641
5.1,4.1.5,138744
5.1,4.1.4,87990
5.1,4.1.3,225008
5.1,4.1.2,105928
5.1,4.1.13,935738
5.1,4.1.12,851317
5.1,4.1.11,33221
5.1,4.1.10,126193
5.1,4.1.1,143978
5.1,4.1,350531
5.1,4.0rc1,801
5.1,4.0b1,601
5.1,4.0a1,1001
5.1,4.0.9,11527
5.1,4.0.8,82024
5.1,4.0.7,39821
5.1,4.0.6,184631
5.1,4.0.5,64014
5.1,4.0.4,115196
5.1,4.0.3,66917
5.1,4.0.2,54858
5.1,4.0.10,228802
5.1,4.0.1,47695
5.1,4.0,142710
5.1,3.2rc1,349
5.1,3.2b1,343
5.1,3.2a1,679
5.1,3.2.9,126843
5.1,3.2.8,249104
5.1,3.2.7,119543
5.1,3.2.6,111569
5.1,3.2.5,86255
5.1,3.2.4,96445
5.1,3.2.3,115242
5.1,3.2.25,3601737
5.1,3.2.24,203076
5.1,3.2.23,326001
5.1,3.2.22,58163
5.1,3.2.21,75139
5.1,3.2.20,216240
5.1,3.2.2,17749
5.1,3.2.19,195810
